5ml,10ml,13ml,15ml,20ml,25ml,27ml,30ml,33ml,35ml,38ml,42ml,46ml,Normalsoil
894,783,776,699,642,626,593,538,535,494,477,447,345,975
894,785,776,700,644,627,593,538,535,493,477,449,352,976
894,786,776,702,645,627,593,539,536,494,477,449,361,976
894,787,776,702,647,627,593,539,535,493,477,447,370,976
894,787,776,702,670,627,593,539,534,493,477,448,380,976
894,788,776,703,675,627,593,539,534,493,477,448,389,975
895,789,777,703,675,628,593,538,535,493,477,449,396,976
896,790,777,704,676,629,594,539,534,492,477,449,416,976
896,789,778,705,675,628,594,539,535,493,477,448,416,976
897,790,778,705,676,629,595,538,535,492,477,448,416,977
897,791,778,706,676,629,596,538,535,493,477,448,416,976
896,791,779,706,676,629,596,538,535,493,477,448,417,976
894,791,780,706,677,630,595,538,535,493,477,448,418,976
895,789,780,706,677,630,596,539,535,492,477,448,417,976
895,792,780,707,677,630,596,538,535,493,477,449,417,976
895,788.5333333,,703.7333333,667.2,628.2,,538.4666667,,492.9333333,,448.2,395.0666667,975.9333333
